IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.151.202,4,4,0.00,182.41,0.00
172.64.232.3,4,4,0.00,182.57,0.00
104.25.2.206,4,4,0.00,183.13,0.00
104.21.0.6,4,4,0.00,183.41,0.00
104.27.0.4,4,4,0.00,183.49,0.00
104.24.0.5,4,4,0.00,183.55,0.00
188.114.96.7,4,4,0.00,183.82,0.00
104.19.0.2,4,4,0.00,184.18,0.00
104.24.0.8,4,4,0.00,184.79,0.00
104.20.0.1,4,4,0.00,187.21,0.00
104.25.0.7,4,4,0.00,187.64,0.00
104.26.0.1,4,4,0.00,187.69,0.00
104.26.0.4,4,4,0.00,187.79,0.00
104.25.0.4,4,4,0.00,190.08,0.00
104.25.0.8,4,4,0.00,190.34,0.00
172.66.207.16,4,4,0.00,190.53,0.00
104.24.141.13,4,4,0.00,192.14,0.00
188.114.96.1,4,4,0.00,194.95,0.00
