IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.20.0.2,4,4,0.00,181.07,0.00
188.114.96.55,4,4,0.00,181.18,0.00
172.67.194.212,4,4,0.00,181.53,0.00
172.66.205.16,4,4,0.00,182.41,0.00
172.65.0.5,4,4,0.00,182.57,0.00
172.67.119.242,4,4,0.00,182.58,0.00
104.24.0.3,4,4,0.00,183.14,0.00
172.64.232.6,4,4,0.00,183.27,0.00
188.114.99.63,4,4,0.00,183.72,0.00
104.25.0.9,4,4,0.00,183.87,0.00
104.24.0.5,4,4,0.00,184.10,0.00
172.64.232.5,4,4,0.00,184.96,0.00
172.65.0.3,4,4,0.00,184.99,0.00
104.27.0.5,4,4,0.00,185.10,0.00
104.26.0.162,4,4,0.00,185.39,0.00
104.27.195.107,4,4,0.00,185.57,0.00
104.26.0.4,4,4,0.00,185.67,0.00
104.21.18.147,4,4,0.00,186.39,0.00
172.67.94.205,4,4,0.00,186.79,0.00
172.65.0.7,4,4,0.00,186.82,0.00
104.25.0.3,4,4,0.00,188.36,0.00
104.20.0.8,4,4,0.00,188.70,0.00
104.21.32.244,4,4,0.00,189.49,0.00
104.26.0.1,4,4,0.00,190.27,0.00
104.20.3.131,4,4,0.00,190.99,0.00
104.20.0.7,4,4,0.00,192.37,0.00
104.21.0.8,4,4,0.00,192.58,0.00
104.24.0.2,4,4,0.00,196.68,0.00
104.20.0.132,4,4,0.00,197.44,0.00
